INFO:models:Deleted 9 existing screening types and all associated screenings for complete replacement
INFO:models:Committed deletion of existing screening types
INFO:models:Processing screening type: 'Lipid Panel' for org 1
INFO:models:Creating new screening type: 'Lipid Panel' for org 1
INFO:models:Processing screening type: 'A1C Test' for org 1
INFO:models:Creating new screening type: 'A1C Test' for org 1
INFO:models:Processing screening type: 'Electrocardiogram (ECG)' for org 1
INFO:models:Creating new screening type: 'Electrocardiogram (ECG)' for org 1
INFO:models:Processing screening type: 'Mammogram' for org 1
INFO:models:Creating new screening type: 'Mammogram' for org 1
INFO:models:Processing screening type: 'A1C Test' for org 1
INFO:models:Creating VARIANT of 'A1C Test' for org 1 (different criteria)
INFO:models:Processing screening type: 'Diabetic Eye Exam' for org 1
INFO:models:Creating new screening type: 'Diabetic Eye Exam' for org 1
INFO:models:Processing screening type: 'Cervical Cancer Screening' for org 1
INFO:models:Creating new screening type: 'Cervical Cancer Screening' for org 1
INFO:models:Processing screening type: 'Colorectal Cancer Screening' for org 1
INFO:models:Creating new screening type: 'Colorectal Cancer Screening' for org 1
INFO:models:Processing screening type: 'Immunization Review' for org 1
INFO:models:Creating new screening type: 'Immunization Review' for org 1
INFO:models:Successfully imported 9 and updated 0 screening types
INFO:routes.admin_routes:Preset 36 North Union applied - triggering screening refresh to create screening items
INFO:services.screening_refresh_service:ScreeningRefreshService initialized for organization 1 - LOCAL PROCESSING ONLY
INFO:services.screening_refresh_service:Starting screening refresh for EXISTING data only - NO Epic calls
INFO:services.screening_refresh_service:Found 9 modified screening types (active: 9, inactive: 0)
INFO:services.screening_refresh_service:Created NEW screening 165 for patient 16, type Lipid Panel
INFO:services.screening_refresh_service:Created NEW screening 166 for patient 16, type A1C Test
INFO:services.screening_refresh_service:Created NEW screening 167 for patient 16, type Electrocardiogram (ECG)
INFO:services.screening_refresh_service:Created NEW screening 168 for patient 16, type Colorectal Cancer Screening
INFO:services.screening_refresh_service:Created NEW screening 169 for patient 16, type Immunization Review
INFO:services.screening_refresh_service:Screening refresh completed successfully: {'patients_processed': 6, 'screenings_updated': 23, 'documents_reprocessed': 0, 'criteria_changes_detected': 0, 'errors': [], 'start_time': datetime.datetime(2025, 12, 12, 20, 42, 37, 955314), 'end_time': datetime.datetime(2025, 12, 12, 20, 42, 43, 100999)}
10.81.0.152 - - [12/Dec/2025:20:42:43 +0000] "POST /admin/presets/1/apply-to-organization HTTP/1.1" 302 215 "https://55ab1b06-006d-47ec-9b73-b827f4e0f641-00-1fje9legmrd1y.riker.replit.dev/admin/presets" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Replit/1.0.14 Chrome/124.0.6367.119 Electron/30.0.3 Safari/537.36"
10.81.0.152 - - [12/Dec/2025:20:42:43 +0000] "GET /admin/presets HTTP/1.1" 200 435091 "https://55ab1b06-006d-47ec-9b73-b827f4e0f641-00-1fje9legmrd1y.riker.replit.dev/admin/presets" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Replit/1.0.14 Chrome/124.0.6367.119 Electron/30.0.3 Safari/537.36"
10.81.13.213 - - [12/Dec/2025:20:42:43 +0000] "GET /static/css/custom.css HTTP/1.1" 304 0 "https://55ab1b06-006d-47ec-9b73-b827f4e0f641-00-1fje9legmrd1y.riker.replit.dev/admin/presets" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Replit/1.0.14 Chrome/124.0.6367.119 Electron/30.0.3 Safari/537.36"
10.81.13.213 - - [12/Dec/2025:20:42:43 +0000] "GET /static/css/loading-states.css HTTP/1.1" 304 0 "https://55ab1b06-006d-47ec-9b73-b827f4e0f641-00-1fje9legmrd1y.riker.replit.dev/admin/presets" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Replit/1.0.14 Chrome/124.0.6367.119 Electron/30.0.3 Safari/537.36"
